"","grid","pop","ind","lon","lat"
"62","cur.s2","cur",2,-70.9157973030153,42.4200899997811
"63","cur.s2","cur",3,-70.915797356173,42.4200720739834
"64","cur.s2","cur",4,-70.9157730767947,42.4200720500233
"65","cur.s2","cur",5,-70.9157487024671,42.4200719949846
"66","cur.s2","cur",6,-70.9157243281395,42.4200720500233
"67","cur.s2","cur",7,-70.9157000487612,42.4200720739834
"68","cur.s2","cur",8,-70.9157001019188,42.4200899997811
"69","cur.s2","cur",9,-70.9157000487335,42.4201079255787
"70","cur.s2","cur",10,-70.9157243281256,42.4201079495542
"71","cur.s2","cur",11,-70.9157487024671,42.4201080045982
"72","cur.s2","cur",12,-70.9157730768085,42.4201079495542
"73","cur.s2","cur",13,-70.9157730027412,42.4200899997888
"74","cur.s2","cur",14,-70.9157487024671,42.4200899997914
"75","cur.s2","cur",15,-70.915724402193,42.4200899997888
"76","cur.s3","cur",1,-70.9160160586678,42.4201079253701
"77","cur.s3","cur",2,-70.9160160054824,42.4200899995725
"78","cur.s3","cur",3,-70.91601605864,42.4200720737748
"79","cur.s3","cur",4,-70.9159917792617,42.4200720498147
"80","cur.s3","cur",5,-70.9159674049342,42.4200719947759
"81","cur.s3","cur",6,-70.9159430306066,42.4200720498147
"82","cur.s3","cur",7,-70.9159187512283,42.4200720737748
"83","cur.s3","cur",8,-70.9159188043859,42.4200899995725
"84","cur.s3","cur",9,-70.9159187512006,42.4201079253701
"85","cur.s3","cur",10,-70.9159430305927,42.4201079493456
"86","cur.s3","cur",11,-70.9159674049342,42.4201080043895
"87","cur.s3","cur",12,-70.9159917792756,42.4201079493456
"88","cur.s3","cur",13,-70.9159917052083,42.4200899995802
"89","cur.s3","cur",14,-70.9159674049342,42.4200899995828
"90","cur.s3","cur",15,-70.91594310466,42.4200899995802
"91","nil.d3","nil",1,-70.6569574230291,42.5959679243955
"92","nil.d3","nil",2,-70.6569573696944,42.59594999915
"93","nil.d3","nil",3,-70.6569574230012,42.5959320739044
"94","nil.d3","nil",4,-70.656933075471,42.5959320499451
"95","nil.d3","nil",5,-70.656908632725,42.5959319949081
"96","nil.d3","nil",6,-70.656884189979,42.5959320499451
"97","nil.d3","nil",7,-70.6568598424488,42.5959320739044
"98","nil.d3","nil",8,-70.6568598957555,42.59594999915
"99","nil.d3","nil",9,-70.6568598424208,42.5959679243955
"100","nil.d3","nil",10,-70.656884189965,42.5959679483704
"101","nil.d3","nil",11,-70.656908632725,42.5959680034127
"102","nil.d3","nil",12,-70.656933075485,42.5959679483704
"103","nil.d3","nil",13,-70.6569330012097,42.5959499991578
"104","nil.d3","nil",14,-70.656908632725,42.5959499991604
"105","nil.d3","nil",15,-70.6568842642402,42.5959499991578
"106","nil.d2","nil",1,-70.6566650012125,42.5959679251419
"107","nil.d2","nil",2,-70.6566649478778,42.5959499998963
"108","nil.d2","nil",3,-70.6566650011845,42.5959320746508
"109","nil.d2","nil",4,-70.6566406536543,42.5959320506914
